|srn|nl|keep_row
1770|A poti den pomerak san ben de ini en empi na ondri a bon, dan a tyari a saka gi en oma.|Hij stelde de <unk> wat zich in zijn organisatie bevond en droeg hem aan zijn natie|keep row: both source and target contain non numerical text!
1771|Granmama gi birfrow a saka, dan a tyari birfrow go na mofo a doro.|<unk> voor <unk> bracht hij <unk> tot mond|keep row: both source and target contain non numerical text!
1772|Dan Henny kren go baka ini a bon.|Dan en weer in de natie|keep row: both source and target contain non numerical text!
1773|Di den trawan kon na oso, den lon go teki den pomerak san ben de na gron.|Toen de anderen kwamen en vluchtten hen en wat in <unk> was|keep row: both source and target contain non numerical text!
1774|Di Henny si taki den trawan teki en pomerak, a taki: Te mi saka, unu sa si san mi e du nanga unu!|Toen <unk> zag dat de anderen hem aanvaardden en zei: Wanneer ik en gij zult zien wat ik met <unk> doet|keep row: both source and target contain non numerical text!
1775|Fa a taki a sani dati, a fadon kon na gron, èn a naki en fesede na a bon tompu.|Hoe hij het zei en hij viel hem en sloeg hem aan de boom <unk>|keep row: both source and target contain non numerical text!
1776|Dan so a kisi wan kundu na en fes'ede.|Dan ontving hij een natie bij zijn organisatie|keep row: both source and target contain non numerical text!
1777|Den trawan bigin lafu en.|De anderen begonnen hem te prediken|keep row: both source and target contain non numerical text!
1778|Henny mandi èn a bigin lon baka den.|En hij begon hen weer te vluchten.|keep row: both source and target contain non numerical text!
1779|Den lon gwe nanga den pomerak go na granmama.|Zij vluchten met de <unk> naar <unk>|keep row: both source and target contain non numerical text!
1780|Granmama broki wan wipi, dan a taki: Te yu wani yu kan naki den.|En een dag zei hij: Wanneer je ze wilt slaan.|keep row: both source and target contain non numerical text!
1781|Henny taki: Oma, ma den teki mi pomerak.|<unk> zei: <unk> maar zij hebben mijn organisatie aanvaard|keep row: both source and target contain non numerical text!
1782|Granmama taki: Den kisi yu moi.|<unk> zeggen: Zij hebben uw organisatie ontvangen|keep row: both source and target contain non numerical text!
1783|Yu gridi tumsi.|Uw organisatie|keep row: both source and target contain non numerical text!
1784|Yu ben piki wantu kba, ma toku yu wani moro.|Je had een paar dagen gehad, maar toch wil je meer willen.|keep row: both source and target contain non numerical text!
1785|Yu no e kisi noti.|U krijgt niet <unk>|keep row: both source and target contain non numerical text!
1786|Waka go wantron na inisei.|<unk> naar eenheid|keep row: both source and target contain non numerical text!
1787|Henny taki: Oma mi no e naki den moro.|En zei: En ik slaat ze niet meer.|keep row: both source and target contain non numerical text!
1788|Dan a lon gwe.|Vervolgens vluchtte hij <unk>|keep row: both source and target contain non numerical text!
1789|Di granmama kba bori, a poti nyanyan gi den trawan.|Toen <unk> eindigde en voedsel voor de <unk>|keep row: both source and target contain non numerical text!
1790|Dan a go wasi krosi ini a was'oso.|Vervolgens ging hij kleren in de natie wassen|keep row: both source and target contain non numerical text!
1791|Di Henny dori oso, a yere fa granmama ben bosri den krosi, a kren go safsafri ini a bon.|Toen <unk> en hoorde hoe <unk> de <unk> in de natie <unk> predikte|keep row: both source and target contain non numerical text!
1792|Ma di wan fu en pikin brada si en, a lon go kari Oma.|Maar toen een van zijn broer hem zag , vluchtte hij <unk> uit|keep row: both source and target contain non numerical text!
1793|Oma waka go na a bon.|<unk> naar de natie wandelen|keep row: both source and target contain non numerical text!
1794|Dan a bari: Mi mama, yu boi Henny.|Dan en mijn zoon en uw zoon|keep row: both source and target contain non numerical text!
1795|Saka kmoto fu a bon.|<unk> van de natie|keep row: both source and target contain non numerical text!
1796|Na diya yesi yu abi, no?|Uw natie gehoorzamen|keep row: both source and target contain non numerical text!
1797|Henny saka wantron, èn taki: Mmmmm, oma, yu switi yèrè?|<unk> nederig en zegt: En uw heerlijke vrede|keep row: both source and target contain non numerical text!
1798|Oma bari: Yu bitaaa.|<unk> Uw organisatie|keep row: both source and target contain non numerical text!
1799|Di oma prakseri san a taigi Henny, a bigin lafu dati Henny srefi bigin lafu tu.|Toen <unk> dacht wat hij tot <unk> zei en hij begon ook te prediken en ook te beg@@|keep row: both source and target contain non numerical text!
1800|Oma taki: Esi go nyan.|<unk> zei: <unk> ga <unk>|keep row: both source and target contain non numerical text!
1801|Baka di Henny kba nyan, a lon prei nanga den boi fu birfrow.|Na <unk> te hebben en met de jongens van <unk> te spelen|keep row: both source and target contain non numerical text!
1802|No langa na baka di oma kba wasi krosi, a go sribi.|Niet lang nadat <unk> was gewassen en ga <unk>|keep row: both source and target contain non numerical text!
1803|Dan Henny kon na oso.|Toen kwam er <unk> naar huis|keep row: both source and target contain non numerical text!
1804|Di a si dati oma ben sribi a kren go te na ede fu a bon.|Toen hij zag dat <unk> de natie tot het hoofd van de natie predikte|keep row: both source and target contain non numerical text!
1805|Dape wan marbonsu waswasigodi ben kibri ondro wan bosu lepi pomerak.|<unk> <unk> Een natie beschermde onder een natie <unk>|keep row: both source and target contain non numerical text!
1806|Fa Henny broko wan pomerak, den waswasi sutu en.|Omdat <unk> een dag gebroken had, hebben de <unk> hem neergeschoten.|keep row: both source and target contain non numerical text!
1807|A bari: Waaai, mama kon yepi mi, èn a saka esesi.|De <unk> moeder werd geholpen en vernederd|keep row: both source and target contain non numerical text!
1808|A lon go na oma.|Hij vluchtte naar <unk>|keep row: both source and target contain non numerical text!
1809|Oma skreki ini en sribi.|En verschrikt in zijn organisatie|keep row: both source and target contain non numerical text!
1810|A aksi Henny: San psa, san psa?|De vraag en wat <unk>|keep row: both source and target contain non numerical text!
1811|Henny piki: Waswasi sutu mi ini a bon.|<unk> <unk> Komt mij in de situatie|keep row: both source and target contain non numerical text!
1812|Oma taki: Yu si?|<unk> zei: Uw organisatie|keep row: both source and target contain non numerical text!
1813|Te mi e bari yu, yu no wani yere!|Wanneer ik schreeuwt en gij wil niet <unk>|keep row: both source and target contain non numerical text!
1814|Sani e miti yu.|<unk> ontmoet.|keep row: both source and target contain non numerical text!
1815|Go wasi yu skin!|Ga uw natie wassen|keep row: both source and target contain non numerical text!
1816|Di a kba wasi, en fesi ben sweri èn a kisi korsu.|Toen het einde en zijn aangezicht werd gepredikt|keep row: both source and target contain non numerical text!
1817|Oma gi en krin krosi, dan a tyari en go na datra na baka uku.|<unk> gaf hem duidelijk en vervolgens naar arts terug|keep row: both source and target contain non numerical text!
1818|Datra gi en wan spoiti nanga wantu perki fu dringi te a ben kisi pijn.|<unk> gaf hem een natie met enkele dagen om te drinken wanneer hij <unk> kreeg|keep row: both source and target contain non numerical text!
1819|Di den trawan kon na oso, dan fa den no si granmama, den bigin du a oso-wroko.|Toen de anderen bijeenkwamen , hoe zij niet zien en begonnen de natie te doen|keep row: both source and target contain non numerical text!
1820|Den no ben sabi notnoti san ben psa nanga Henny.|Zij wisten niet en wat er met <unk> gebeurde|keep row: both source and target contain non numerical text!
1821|Di oma nanga Henny kon na oso, Henny fosi pikin brada bari: Un kon luku, Oma tyari wan sneisi kon!|Toen <unk> en <unk> tot <unk> ls eerste broer <unk> kwam en een natie leiden|keep row: both source and target contain non numerical text!
1822|Den trawan lon kon luku èn den bigin bari lafu.|De anderen vluchtten om <unk> te schreeuwen|keep row: both source and target contain non numerical text!
1823|Dan en tweede pikin brada aksi en: Henny, fa yu du kisi sneisi ai?|Toen vroeg zijn tweede broertje hem: En hoe hebt u <unk> gedaan|keep row: both source and target contain non numerical text!
1824|Henny luku den pikin brada fu en, dan a taki: Waswasi sutu mi.|En kijk naar haar broertjes en zei: En houd me op.|keep row: both source and target contain non numerical text!
1825|Ma unu e taki dati mi na sneisi.|Maar gij zegt dat ik <unk> ben|keep row: both source and target contain non numerical text!
1826|A bun.|De situatie|keep row: both source and target contain non numerical text!
1827|Ma Oma, san yu e taki?|Maar wat gij predikt|keep row: both source and target contain non numerical text!
1828|Oma, san ben poti merki tapu faya, taki: Yu e tan mi moi boi.|En wat zette en zei: Je blijft mijn prachtige organisatie behouden|keep row: both source and target contain non numerical text!
1829|Henny lafu dan a gi oma wan brasa.|<unk> En dan gaf hij <unk> natie|keep row: both source and target contain non numerical text!
1830|Den trawan luku densrefi èn bigin lafu tu.|De anderen keken zich af en begonnen ook te maken.|keep row: both source and target contain non numerical text!
1831|Arkiman, disi na a tori fu a presi di den srafu ben e kari No-Meri-Mi Kondre.|En dit is het geval van de plaats die de slaven <unk> noemden|keep row: both source and target contain non numerical text!
1832|We, arkiman, dan un poti yesi, un arki bun san mi e go ferteri.|<unk> En dan legt gij en luistert goed wat ik ga prediken|keep row: both source and target contain non numerical text!
1833|A baka wantu yari di manspasi bari ini Sranan, den srafu di de ini busi e kon wan na wan ini foto.|Na enkele jaren dat <unk> in <unk> riep en de slaven verenigd worden|keep row: both source and target contain non numerical text!
1834|Ma te a baka Kwatta, fu go miti sekanti, wan nengrekondre ben de di den nengre e kari No-Meri-Mi.|Maar nadat de <unk> te benaderen was en een natie was toen de kinderen <unk> noemen|keep row: both source and target contain non numerical text!
1835|Wan famiri komoto ini foto nanga wan skuna, wan seiriboto, fu go ini Coronie.|Een familie uit de stad en een natie in eenheid|keep row: both source and target contain non numerical text!
1836|Pikinso pasa Braamspunt den si a skuna e leki.|En voorbijgaan en zien de situatie|keep row: both source and target contain non numerical text!
1837|A skuna e teki watra sodati den tyari en go fasi ini tokotoko a sekanti.|De natie neemt water zodat hij in <unk> de natie wordt geleid|keep row: both source and target contain non numerical text!
1838|Ini a skuna ben de fo bigi umasma, feifi mansma, tu boi: wan abi vijftien a trawan zeventien yari.|In de natie was vier grote <unk> en twee <unk> en de andere natie <unk>|keep row: both source and target contain non numerical text!
1839|Den ben e go nyan vakantie ini Coronie.|Zij gingen in <unk> eten|keep row: both source and target contain non numerical text!
1840|Nanga muiti ala den sma komoto ini a skuna.|Met inspanningen van alle mensen uit de natie|keep row: both source and target contain non numerical text!
1841|Den teki ala sani di den ben denki den go abi fanowdu.|Zij aanvaardden alles wat zij over <unk> dachten|keep row: both source and target contain non numerical text!
1842|Den go a syoro.|Zij gingen de natie binnen|keep row: both source and target contain non numerical text!
1843|Den no sabi wan leti fasi pe den ben de.|Ze weten geen licht waar ze zijn.|keep row: both source and target contain non numerical text!
1844|Den go moro dipi a syoro pe someni parwabon de.|Ze gingen dieper de situatie waar er zoveel <unk> zijn.|keep row: both source and target contain non numerical text!
