|nl|srn
123|Heb je geen ouders (voogd of verzorgers) of zijn ze niet bereikbaar?|Yu no abi ouders noso sma di e sorgu yu, noso skowtu no man kisi den?
2844|Jouw eten ruikt lekker. Geef me een hap.|A nyanyan fu yu e smeri switi. Gi mi wan mofo.
1536|Toen de twee jongens vochten, sloeg de ene de andere met een stuk hout.|Di den tu boi ben feti, a wan bowtu a trawan.
1926|De pot is heet.|A patu faya.
819|Na enige tijd kwam Anansi met genoeg geld thuis.|Baka wan pis'ten, Anansi kon nanga nofo moni.
1403|De vrouw bedelt op straat om geld.|A frow e begi moni tapu strati.
1382|De schoen van mijn vrouw heeft een dun bandje aan de achterkant.|Mi frow susu abi wan fini banti bakasei.
100|De Raad bewaart jouw gegevens en geeft ze door aan jouw advocaat.|Skowtu abi fu sorgu taki yu kisi wan afkati.
3648|De rechter wachtte totdat iedereen stil was voordat hij de dief veroordeelde.|A krutubakra wakti te leki ala sma kon tiri fosi a leisi strafu gi a fufuruman.
1283|Ik wil de fiets niet meer kopen. Het verlangen ernaar is weg.|Mi no wani bai a baisigri moro. A angri gwe.
3828|De buurt waar ik woon is rustig. Men maakt geen kabal daar.|A birti fu mi tiri. Sma no e meki dyugudyugu dape.
3150|Deze stoep is hoog. Je moet hem wat lager maken.|A stupu disi hei. Yu mu plata en pikinso.
3955|'s Middags waait de wind heerlijk.|Te bakadina a winti e bigin wai switi.
1103|Iedereen die werken wil, kan eten komen halen.|Ala sma di wani kon wroko, kan kon teki nyanyan.
2480|Het kind reeg de kralen aaneen tot een mooie ketting.|A pikin tringi den krara meki wan moi keti fu den.
3045|Vroeger moest je de bootslieden een kwartje betalen om de rivier over te kunnen steken.|Fosi yu ben pai den botoman wan kwartyi fu abra a liba.
1517|De band plofte, pow!|A banti bòs, pow!
3310|Wanneer de melk begint te koken, moet je het vuur verminderen.|Te a merki bigin opo kuku, dan yu mu saka a faya.
1876|Het is al zo laat en hij kan nog niet thuis komen.|So lati un de, dan a no kon na oso ete.
1352|Als je me slaat, zal ik je terugslaan.|Efu yu naki mi, mi o naki yu baka.
1675|De kinderen van deze tijd denken niet ver vooruit.|Den pikin fu dis' ten no e denki fara.
3717|Kun je de tas voor me naar huis sjouwen?|Yu kan syow a tas gi mi na oso?
3193|Nadat ze de cassave geoogst hadden, beplantten ze de hele kostgrond weer met cassave.|Baka di den puru ala den ksaba, dan den prani a heri gron baka nanga ksaba.
982|Toen Jager op het punt stond zijn gezicht te wassen, zag hij het spiegelbeeld van Tijger in het water.|Di Ontiman wani wasi en fesi, a si Tigri prenki na ini a watra.
456|Van allen is alleen Mariënburg nog over.|Now, wi abi soso Maryanborgu.
2405|Morgen kom ik je opzoeken.|Tamara mi o kon luku yu.
4057|Als je niet wilt horen, zal ik je zwepen.|Efu yu no wani yere, mi o wipi yu.
3061|Alle onderdelen van de motor zijn er, maar ze liggen hier en daar verspreid in de kamer.|Ala pisi fu a motor dya, ma den didon panyapanya ini a kamra.
2927|A: Hoe heet die lange jongen die daar rent? B: Hij heet Jerrel.|A: Fa a langa boi nen san e lon dape? B: A nen Yerrel.
381|De tabak maakt je dronken.|A tabaka e meki yu drungu.
3862|Het brood is hard.|A brede tranga.
2015|De schoen past me niet meer.|A susu no e fiti mi moro.
2535|Je moet geduldig zijn bij rechtszaken. Soms duurt het jarenlang voordat je zaak voorgaat.|Yu mu abi pasensi nanga krututori. Son leisi yu e wakti yari langa fosi yu tori go na krutu.
1490|Er was eten in overvloed op het verjaardagsfeest.|Nyanyan ben de bogobogo na a frijari-oso.
1769|Kijk, al de vissen in de goot zijn dood.|Luku, ala den fisi ini a gotro draibere.
1010|Zou je bang zijn als de tijger zijn bek opent om je te verslinden?|Efu Tigri opo en bigi mofo leki a e go swari yu, yu sa frede.
2090|De hele dag fluit de man.|Her' dei a man e froiti.
4118|Als ik naar Nickerie verhuis, zal ik mijn huis in de stad verhuren.|Te mi o froisi go tan na Nickerie, mi o yuru mi oso na foto.
662|Ze kon al een beetje werk doen.|A kan du wan pikin wroko.
3940|Als je snel geholpen wil worden moet je steekpenning betalen.|Efu yu wani fu den yepi yu es'esi dan yu mu pai den wan tyuku.
1721|Johan had de gewoonte zijn bol in zijn koffie te dopen.|Yohanisi ben lobi fu dopu en boru ini en kofi.
3757|Het drinken van medicijn is een weldaad voor het lichaam.|Fu dringi dresi na wan tan bun fu yu skin.
1915|Smeer wat vet voor de ketting van de fiets.|Lobi pikin fatu gi a keti fu a baisigri.
3990|Gisteren wou ik bij je komen.|Esde mi ben wani kon na yu.
3937|De dief heeft de man gewurgd.|A fufuruman tyokro a man kiri.
3338|Het speet de jongen dat hij zijn broertje had geslagen.|A boi sari dat a naki en pikin brada.
2292|Als plastiek lang in de zon blijft, wordt hij makkelijk breekbaar.|Te son naki a plastiek, a e kon karki.
2653|Om een Jood te worden, kan men hun leer aanvaarden.|Fu kan tron wan Dyu, wan sma kan teki a leri fu den.
845|Hierna gaf vriend Kakkerlak Anansi het geld.|Dan Kakalaka gi Anansi a moni.
542|Tot zover dit verhaal.|Te so fara a tori disi.
91|Verhoren betekent dat de politie met jou wil praten en vragen gaat stellen.|Sobun skowtu (noso tra lantisuma di mag fu suku yu) hori yu, tyari yu kon na skowtu-oso fu ondrosuku san pesa.
2639|Deze vrouw is een lichtgelovige. Ze gelooft alles wat je zegt.|A frow disi na wan lekti-ede frow. Ala san yu e taki a e bribi.
2226|De zware tabak heeft bij de jongen hallucinaties veroorzaakt.|A tranga tabaka meki a boi kon hei.
1196|Voordat je de pinda's stampt, moet je ze eerst wannen.|Fosi yu stampu a pinda, yu mu wai a buba puru.
1102|Hij was niet gierig maar hij had iets anders.|A no ben gridi, ma a ben abi wan tra sani.
2770|Markeer de flessen die niet goed meer zijn.|Yu mu marki den batra di no bun moro.
3750|Waar ben je zo lang gebleven?|Pe yu tan so langa?
3492|Dat kind zuigt op haar duim.|A pikin e soigi tapu en doi.
1954|Waarom laat je de kraan open. Kijk hoe het water vermorst wordt.|Fu sanede yu libi a kraan opo. Luku fa watra e fermorsu.
3126|De dief houdt een pistool tegen het hoofd van de man.|A fufuruman e hori wan pipa na a man sei-ede.
2577|Het vlees heeft een rauwe geur.|A meti e smeri lala.
4096|Er is niets aan te doen.|Yepi no de.
1048|Als het feest zijn hoogtepunt heeft bereikt loop je heel zachtjes naar de zolder.|Te a fesa kon faya, dan yu waka saf'safri go na sodro.
2964|Waarom heb je deze kleine sinaasappels gekocht? Je had grotere moeten uitkiezen.|Fu sanede yu bai den nyofinyofi apresina disi? Yu ben mu piki moro grofu wan.
4083|Als er kermis is, kan ik het geroezemoes helemaal thuis horen.|Te konfrijari de, mi kan yere a wunyuwunyu te na mi oso.
898|Hier ben ik, toch.|Mi de let' dya.
1459|Dat kind is jaloers op me, omdat ik modieuzer dan haar ben.|A pikin abi bigi-ai na mi tapu fu di a e si taki mi e prodo moro en.
1725|Zijn vader gaf hem zo'n pakslaag dat hij niet durfde om hem tegen te spreken.|En papa fon en tak' a no ben dorfu fu taki wan sani.
237|Louise Wondel bleef de Afro-Surinamers oproepen om hun zelfbewustzijn te scherpen en oog te krijgen voor hun eigen culturele en historische achtergrond|Louise Wondel, wan Afro Srananman tan taygi den Afro Srananman fu opo den ay moro nanga moro gi den eygi kulturu nanga a historija fu den
2202|Het kind is me ontwend.|A pikin kon lasi gwenti fu mi.
2699|Als ze het riet op Mariënburg verbranden wordt de lucht zwart.|Te den e bron tyen na Maryanborgu, a loktu e kon blaka.
1133|Ik heb niemand.|Mi no abi no wan sma.
3922|Hij eet te veel.|A e nyan tumsi furu.
2821|Vroeger hadden alle chinese winkels een cacaomolen.|Fosten ala sneisi wenkri ben abi wan kakaw miri.
163|In gesprek met de politie|Yu nanga skowtu e sidon taki
2985|Ze hebben me niet gezegd hoe laat ik moet komen.|Den no taigi mi olati mi mu kon.
2478|Ik zal een krachtige soep voor je klaarmaken.|Mi o bori wan krakti supu gi yu.
252|Hij regisseerde veel theaterproducties van deze organisatie en van nationale delegaties naar internationale culturele evenementen zoals Carifesta (The Caribbean Festival of Arts).|A ben e seti furu komediprey fu na òrga disi, dan a ben seti den kulturu grupu fu kondre fu teki prati na dorosey kulturu konmakandra leki Carifesta (The Caribbean Festival of Arts).
1896|Toen oom gestorven was, kwam de hele familie op rouwvisite.|Di omu ben dede dan a heri famiri ben kon na a dede-oso.
2172|Rasp de kokosnoot voor me.|Griti a kronto gi mi.
2477|Als de regering drugszaken niet op een overtuigende manier aanpakt, zal iedereen het geloof in hen verliezen.|Efu lanti no feti a drugstori tapu wan krakti fasi, ala sma o lasi bribi ini den.
2716|Wanneer het vuur haast uit is, kan je koren te roosteren leggen.|Te a faya suku fu dede, dan yu kan poti karu na ini fu a losi.
1647|Jíj kan elke dag in een taxi rijden, maar ik kan dat niet.|Yu dati kan rei taksi ala dei, ma mi dati no man.
930|Kakkerlak was er niet meer.|Kakalaka no de moro.
2425|Al de mensen van Moengo en de omgeving daar kwamen de wedstrijd zien.|Ala den sma fu Mungo nanga a kontren drape ben kon luku a plei.
3663|De thee is te zoet.|A te sukru tumsi.
3154|Het is niet mijn plicht om de airco uit te doen als ik wegga.|A no mi plekti fu kiri a airco te mi e gwe.
3605|Til de zware kist niet op. Sleep het naar de kant.|Yu no mu opo a hebi kisi. Srepi en go na wan sei.
1897|Ik ga een van mijn familieleden in Nickerie bezoeken.|Mi e go luku wan famiri na Nickerie.
1746|Wanneer je het erf hebt schoongemaakt, moet je het vuil verbranden.|Te yu kba krin a dyari, dan yu mus bron a doti.
3282|Deze man is betweterig, hoor. Hij denkt dat hij alles beter weet dan anderen.|A man disi sabiso, yèrè. A e denki tak' a sabi ala sani moro bun moro trawan.
3595|Oma ziet niet scherp meer.|Oma no e si srapu moro.
2310|Deze jongen heeft iets geweldigs gedaan.|Na wan kefalek sani a boi disi du.
1090|Anansi in hongersnood|Anansi na Angriten
3908|Gezegde: Gelooft het of niet.|Yu no bribi lei, yu no bribi tru.
3969|Het lijkt alsof dit pad verder gaat.|A sori leki a pasi disi e waka go doro.
4080|Als je als timmerman wilt werken, moet je je eigen gereedschap hebben.|Te yu wani wroko leki temreman, dan yu mus abi yu eigi wrokosani.
1181|Wat! zei de koning.|Kownu taki: San!
1452|Als je de wond niet verbind, zal het sneller genezen.|Efu yu no tai a soro, a o betre moro esi.
593|Hij ging naar de plaats waar de arbeiders de bossen bananen brachten.|A go na presi pe den man e tyari den bosu bana.
677|Hij zei: Kom, ik zal je iets laten zien.|A taki: 'Kon, mi o sori yu wan sani.
41|U mag de opsporingsambtenaar vragen om een derde (bijvoorbeeld een familielid of huisgenoot) te informeren dat u wordt vastgehouden.|Yu mag aksi a lantiman san abi a verantwortu fu suku sma, fu taigi wan tra sma (fu gi wan eksempre wan famiri efu wan ososma) dait skowtu e hori yu.
1739|Deze man heeft een mooi voorkomen, maar hij heeft slechte manieren.|A man disi moi fu dorosei, ma a abi takru maniri.
3516|Het lijkt erop dat Transvaal gaat winnen.|A sori leki Transvaal o wini.
3944|Je moet de kast spuiten. Het zit vol afval van houtboorders.|Yu mu spoiti a kasi. A lai nanga udusiri.
2063|De jongeren van deze tijd scheuren hun broekspijpen aan flarden. Ze zeggen dat het mode is.|Den yonguwan fu now e franya den bruku futu. Dan den taki na a modo tan so.
243|Van 1976 tot 1978 had De Drie op de overheidszender Radio SRS een dagelijks programma waarin hij verhalen vertelde in het Sranantongo.|Fu1976 te kon miti 1978 De Drie ben pristeri wan aladey programa na SRS pe a ben ferteri agersitori na ini Sranantongo. Misi Trudi Guda wan uma di stuka culturele antropologie skrifi tu buku fu en.
1124|Ja, mijn schat, je mag komen.|Ai, mi gudu, yu kan kon.
1339|Ik ben moe! Ik ga even uitrusten.|Mi weri, baya! Mi e go hari mi baka pikinso.
3931|Wanneer ben je van plan m'n zwarte tas voor me terug te brengen?|Oten yu de fu tyari mi blaka tas kon baka gi mi?
3199|Snij de twee stukken vis doormidden en zet ze in de kast.|Prati den tu pisi fisi na mindri dan yu e poti den ini a kasi.
2922|Toen ik de deur open deed, zag ik dat Hendrik eraan kwam.|Di mi opo a doro, ne mi si Hendrik e kon.
1442|De Javanen besnijden hun jongens op de leeftijd van twaalf jaar.|Den yampaneisi e besnei den boi te den tapu twarfu yari.
261|Haar focus is vooral, maar niet uitsluitend, de Afro-Surinaamse gemeenschap.|A e stuka moro furu den Afrikan-Srananman ma no den wawan.
1703|Deze moet je weghalen.|A disi yu mu puru.
3667|Ik zoek mijn geld. Ik weet niet waar ik het gezet heb.|Mi e suku mi moni. Mi no sabi pe mi poti en.
2329|God moet ons beschermen tegen deze slechte mensen!|Na Gado mus kibri unu fu den ogri sma disi!
2789|Als je de motor niet onderhoud, zal hij snel kapot raken.|Efu yu no ondrow a masyin, a o broko es'esi.
2753|Mijn broertje was boos toen ik hem erop wees dat hij niet met zijn schoenen naar binnen mocht.|Mi pikin brada mandi di mi taigi en taki a no mu kon nanga en susu ini a oso.
834|Er is niets in kas.|Not'noti de ini a kasi.
3182|Hij zit te piekeren.|A e sidon na prakseri broki.
3540|Ik wil zo'n horloge kopen.|Mi wani bai sowan oloisi.
4017|Hang de kleren buiten op. Als ze uitgelekt zijn, kunnen jullie ze binnen ophangen.|Anga den krosi na dorosei. Dan te den hari watra, un kan anga den na inisei.
1718|Nadat Ronald tot bekering gekomen is, wilde hij zich laten dopen.|Baka di Ronald kon na bribi, a ben wani teki dopu.
340|De Hernhutters hadden Bethesda, de Rooms Katholieken hadden Majella en Chatillon was van de overheid.|Anitri ben abi Bethesda, lomsu ben abi Mayella, nanga Ianti ben abi Chattillon.
3991|Jouw kind heeft een sterke wil!|A pikin fu yu abi wan tranga wani!
1601|De kamer was zo rommelig dat ik het boek niet kon vinden.|A kamra ben bruya sote tak' mi no ben man feni a buku.
748|Zij was net zo mooi als vroeger.|A ben de net so moi leki fosi a dede.
2578|Je moet het kippevlees wassen met azijn om zodoende de rauwe geur weg te halen.|Yu mu wasi a fowru nanga asin fu puru a lala.
480|De slaven hadden ergens anders een onderkomen.|Den srafu ben abi wan presi pe den ben kan tan.
1777|Hang de natte kleren op om te drogen.|Anga den nati krosi fu den drei.
2303|Stop! Houd op!|Kaba!
2644|Ik ga geld bij de bank lenen om een huis te bouwen.|Mi e go leni moni na bangi fu bow wan oso.
2935|Geen enkel persoon is vandaag gekomen.|No wan enkri sma kon tide.
3983|Hij pakte een mes en sneed het vlees ermee.|A teki wan nefi dan a koti a meti nanga en.
783|Maar ik wou niet luisteren.|Mi no ben wani yere.
3557|Mijn buik is vol.|Mi bere span.
2028|Deze insekticide is werkzaam tegen mieren en muskieten.|A flit disi bun gi mira nanga maskita.
2702|Vele mensen houden niet van oker. Ze vinden het te slijmerig.|Furu sma no lobi okro. Den feni tak' a loli tumsi.
3319|Klootzak!|Yu sakasaka yu!
3434|De mannen hebben glasscherven op de schutting vastgemetseld.|Den man mesre brokobatra tapu a skotu.
2585|De jongen vertelt heel wat langdradige verhalen.|A boi e ferteri wan lo langabere tori.
1846|De autobestuurder remde hard zodat hij de jongen niet zou aanrijden.|A wagiman dyuku a rem fu a no naki a boi.
1731|Direkt nadat ik thuis aankwam begon het te regenen.|Fa mi doro na oso, a alen bigin kon.
2721|Voordat ik naar huis ga, zal ik mijn moeder bezoeken.|Fosi mi go na oso, mi o go luku mi mama.
3227|Wij creolen, wij zijn met elkaar opgegroeid en opgevoed, we eten met elkaar en we maken pret met elkaar.|Wi kriorosma, un gro makandra, un kweki makandra, w'e nyan makandra, w'e prisiri makandra.
2917|Boiki's vader kweekte kippen en een koe.|Boiki papa ben kweki fowru nanga wan kaw.
1909|De auto bleef in de modder vastzitten.|A oto tan fasi ini a tokotoko.
1271|Kijk naar de jongen die daar in die boom hangt.|Luku a boi san e anga ini a bon dape.
3713|Ze is verlegen, daarom komt ze niet waar er veel mensen zijn.|A e syensyen, dat' meki a no e kon pe furu sma de.
2098|Je moet heel vroeg naar de bakkerij gaan om brood te vinden.|Yu mus go fruk'fruku na bakri-oso fu feni brede.
1127|Dat weet ik wel, Koning.|Mi sabi dati, mi kownu.
626|"Hoe is dat mogelijk?"" Dan gaan we God beschuldigen."|Fa dati kan dan? Dan wi e go krutu nanga Gado.
347|Voor het huis van die zuster was een kreek.|Dan wan kriki ben de na mofodoro fu den oso.
2473|De werknemers hebben hun klacht ingediend op het ministerie.|Den wrokoman tyari den kragi go na ministerie.
2634|Ik moet een bijbaantje zoeken om het leven te vergemakkelijken.|Mi abi fu suku wan krawerki fu lekti a libi.
1565|Een onderwijzer heeft het meisje ontmaagd.|Wan skoromeister broko a pikin.
3535|Hij vertelt een hoop nonsens.|A e taki wan lo sososani.
2178|Hij heeft het zaad in de grond geplant.|A prani a siri ini a gron.
979|Toen Jager kwam dronk hij een kokosnoot.|A yuru di Ontiman kon, Ontiman dringi en krontowaka.
